Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Municipality,Address,Facility Name,Categories,Historical Information,Url
Werribee Sports & Fitness Centre,Werribee,-37.898601,144.64031599999998,Netball,5.0,Hard Court,4. Good,"Female, Male",Wyndham,Ballan Road Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Netball']",,
Hoppers Indoor Sportz,Hoppers Crossing,-37.872,144.7275,Netball (indoor),2.0,,,,Wyndham,Graham Court Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Netball']",,
Riverside Indoor Sports,Werribee,-37.913492,144.659074,Netball (Indoor),5.0,Carpet Playing Surface,,,Wyndham,13 Riverside Avenue Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Netball']",,
National Equestrian Centre,Werribee,-37.924110999999996,144.67498,Polo,2.0,,,,Wyndham,K Road Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Polo']",,
Clearwood Drive Reserve,Truganina,-37.840037,144.71783,Rugby League,2.0,,,,Wyndham,Clearwood Drive Truganina,,"['Wyndham', 'Truganina', 'Sports', 'Rugby']",,
Haines Drive Reserve,Wyndham Vale,-37.897069,144.609389,Rugby League,2.0,,5. Very Good,"Female, Male, Umpire/Officials",Wyndham,Haines Road Wyndham Vale 3024,,"['Wyndham', 'Wyndham Vale', 'Sports', 'Rugby']",,
Mossfiel Reserve,Hoppers Crossing,-37.877437,144.692478,Rugby Union,2.0,Grass,3. Average,"Umpire/Officials, Unisex",Wyndham,Heaths Road Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Rugby']",,
Wyndham Handgun Club,Werribee,-37.898303000000006,144.640603,Shooting Sports,,,,,Wyndham,Ballan Road Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Shooting']",,
Boardwalk Skate Park,Point Cook,-37.880556,144.73533600000002,Skating,1.0,Concrete,3. Average,,Wyndham,Boardwalk Boulevard Point Cook 3030,,"['Wyndham', 'Point Cook', 'Sports', 'Skating']",,
Little River Reserve,Little River,-37.961417,144.497406,Skating,1.0,Concrete,,,Wyndham,You Yangs Road Little River 3211,,"['Wyndham', 'Little River', 'Sports', 'Skating']",,
Presidents Park,Werribee,-37.881809999999994,144.634572,Skating,1.0,Concrete,3. Average,,Wyndham,McGraths Road Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Skating']",,
Forsyth Road Reserve,Truganina,-37.860803999999995,144.729419,Soccer,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Wyndham,Forsyth Road Truganina 3029,,"['Wyndham', 'Truganina', 'Sports', 'Soccer']",,
Galvin Park,Werribee,-37.88706,144.650409,Soccer,3.0,Grass,4. Good,"Umpire/Officials, Unisex",Wyndham,Shaws Road Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Soccer']",,
Grange Reserve Soccer Complex,Hoppers Crossing,-37.860884999999996,144.676572,Soccer,2.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Wyndham,Hogans Road Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Soccer']",,
Saltwater Reserve,Point Cook,-37.909351,144.752502,Soccer,3.0,Artificial Turf,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Wyndham,Point Cook Road Point Cook 3030,,"['Wyndham', 'Point Cook', 'Sports', 'Soccer']",,
Tom Roberts Parade Reserve,Point Cook,-37.894009999999994,144.727529,Soccer,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Wyndham,Tom Robert Parade Point Cook 3030,,"['Wyndham', 'Point Cook', 'Sports', 'Soccer']",,
VU Wyndham Sporting Complex,Werribee,-37.892629,144.702157,Soccer,1.0,Grass,4. Good,"Female, Male",Wyndham,Hoppers Lane Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Soccer']",,
Laurie Emmins Reserve,Laverton North,-37.852136,144.764933,Softball,1.0,Grass,2. Poor,,Wyndham,Sayers Road Laverton North 3026,,"['Wyndham', 'Laverton North', 'Sports', 'Softball']",,
Fenix Fitness Club Hoppers Crossing,Hoppers Crossing,-37.869127,144.691056,Swimming,,"25m Pool - Indoor, Spa/Sauna",,,Wyndham,116 Mossfiel Drive Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Swimming']",,
Shawn's Swim School,Hoppers Crossing,-37.866,144.72899999999998,Swimming,,25m Pool - Indoor,,,Wyndham,35 Richards Road Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Swimming']",,
Werribee Olympic Pool,Werribee,-37.906040999999995,144.651882,Swimming,3.0,"50m Pool - Outdoor, Recreation / Play Water Space, Toddlers Pool",5. Very Good,"Female, Male, Unisex",Wyndham,Watton Street Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Swimming']",,
Wyndham Leisure & Events Centre,Hoppers Crossing,-37.882173,144.683355,Swimming,5.0,"50m Pool - Indoor, Recreation / Play Water Space, Rehabilitation Pool, Spa/Sauna, Toddlers Pool",5. Very Good,"Female, Male, Unisex",Wyndham,Derrimut Road Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Swimming']",,
Cambridge Reserve,Hoppers Crossing,-37.871069,144.675717,Tennis (Outdoor),6.0,Hard Court,4. Good,"Female, Male",Wyndham,Barber Drive Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Tennis']",,
Chirnside Park,Werribee,-37.904815,144.652061,Tennis (Outdoor),2.0,Hard Court,4. Good,"Female, Male",Wyndham,Watton Street Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Tennis']",,
