Address,Business Category,Name,Postcode,Suburb,Municipality,Latitude,Longitude,Categories,Contact
"405 Camberwell Road, Camberwell, Victoria 3124",Volunteering,Boroondara Volunteer Resource Centre,3124,Camberwell,Boroondara City Council,-37.83557,145.06219,"['Boroondara City Council', 'Camberwell', 'Volunteering']",https://www.boroondara.vic.gov.au/.../about-boroondara-volunteer-resource-centre
"Fiddler's Green Retirement Village, 57 Gloucester Avenue, Berwick, Victoria 3806",Volunteering,Casey U3A Inc.,3806,Berwick,Casey City Council,-38.03783,145.34575,"['Casey City Council', 'Berwick', 'Volunteering']",https://casey.u3anet.org.au/courses-and-classes/courses-and-classes
"Shop 111, Epping Plaza, Cnr Cooper & High Streets, Epping, Victoria 3076",Volunteering,Community Information Whittlesea,3076,Epping,Whittlesea City Council,-37.65157,145.01649,"['Whittlesea City Council', 'Epping', 'Volunteering']",https://www.whittleseacommunityconnections.org.au
"Community Information Whittlesea, Shop 111, Epping Plaza, Epping, Victoria 3076",Volunteering,Whittlesea Volunteer Resource Service ,3076,Epping,Whittlesea City Council,-37.62777994469675,145.02794858422342,"['Whittlesea City Council', 'Epping', 'Volunteering']",https://www.whittlesea.vic.gov.au/community-support/volunteering
"214 Mount Dandenong Road, Croydon, Victoria 3136",Volunteering,Croydon U3A Inc.,3136,Croydon,Maroondah City Council,-37.799,145.2816,"['Maroondah City Council', 'Croydon', 'Volunteering']",https://u3acroydon.org.au
"32 Greenwood Avenue, Ringwood, Victoria 3134",Volunteering,Eastern Volunteer Resource Centre,3134,Ringwood,Maroondah City Council,-37.81972,145.23024,"['Maroondah City Council', 'Ringwood', 'Volunteering']",https://easternvolunteers.org.au
"Emerald Community House, Main Road, Emerald, Victoria 3782",Volunteering,Emerald U3A Inc.,3782,Emerald,Cardinia Shire Council,-37.92638,145.44389,"['Cardinia Shire Council', 'Emerald', 'Volunteering']",https://u3aemerald.org.au
"PO Box 287 , Rosanna, Victoria 3084",Volunteering,Endowment Australasia,3084,Rosanna,Banyule City Council,-37.74272918701172,145.06527709960938,"['Banyule City Council', 'Rosanna', 'Volunteering']",https://myclaimsolved.com/.../national-mutual-life-association-of-australasia.php
"1151 Glen Huntly Road, Glen Huntly, Victoria 3163",Volunteering,Glen Eira U3A Inc.,3163,Glen Huntly,Glen Eira City Council,-37.88887,145.04182,"['Glen Eira City Council', 'Glen Huntly', 'Volunteering']",https://gleneirau3a.org.au
"C/- Community Information Glen Eira, 256 Hawthorn Road, Caulfield, Victoria 3162",Volunteering,Glen Eira Volunteer Information Service,3162,Caulfield,Glen Eira City Council,-37.88054,145.02223,"['Glen Eira City Council', 'Caulfield', 'Volunteering']",https://www.gleneira.vic.gov.au/.../community-information-and-support-glen-eira
"26 Sinclair Avenue, Glen Iris, Victoria 3146",Volunteering,Hawthorn U3A,3146,Glen Iris,Stonnington City Council,-37.8496,145.05015,"['Stonnington City Council', 'Glen Iris', 'Volunteering']",https://www.u3ahawthorn.org.au
"Highvale Village, 124/42 Capital Avenue, Glen Waverley, Victoria 3150",Volunteering,Highvale U3A Inc.,3150,Glen Waverley,Monash City Council,-37.8746,145.18509,"['Monash City Council', 'Glen Waverley', 'Volunteering']",https://www.u3ahighvale.com.au
"583 Ferntree Gully Road, Glen Waverley, Victoria 3150",Volunteering,Monash Volunteer Resource Centre,3150,Glen Waverley,Monash City Council,-37.90297,145.15875,"['Monash City Council', 'Glen Waverley', 'Volunteering']",sev.org.au
"An Talla of Dallas, Gibb Reserve, Blair Street , Dallas, Victoria 3047",Volunteering,Hume U3A Inc.,3047,Dallas,Hume City Council,-37.6729850000152,144.931390000061,"['Hume City Council', 'Dallas', 'Volunteering']",https://humeu3a.org.au
"The Old Court House, 37 Albert Street, Mordialloc, Victoria 3195",Volunteering,Kingston U3A Inc,3195,Mordialloc,Kingston City Council,-38.00415,145.08651,"['Kingston City Council', 'Mordialloc', 'Volunteering']",https://www.u3akingston.com.au
"658 Mountain Highway, Bayswater, Victoria 3153",Volunteering,Knox Community Volunteers,3153,Bayswater,Knox City Council,-37.84198,145.2623,"['Knox City Council', 'Bayswater', 'Volunteering']",https://www.kch.org/resources/volunteers-0
"Moonee Valley Access Centre, Kellaway Avenue, Moonee Ponds, Victoria 3039",Volunteering,Moonee Valley Region U3A Inc,3039,Moonee Ponds,Moonee Valley City Council,-37.76417,144.9244,"['Moonee Valley City Council', 'Moonee Ponds', 'Volunteering']",https://u3amooneevalley.com.au/courses-2
"25 Dawson Street, Brunswick, Victoria 3056",Volunteering,Moreland U3A Inc.,3056,Brunswick,Moreland City Council,-37.77203,144.9576,"['Moreland City Council', 'Brunswick', 'Volunteering']",https://u3amoreland.org.au/members/massTemplate.php?action=login
"U3A House, 45 James Street, Pakenham, Victoria 3810",Volunteering,Pakenham & District U3A Inc,3810,Pakenham,Cardinia Shire Council,-38.07664,145.48198,"['Cardinia Shire Council', 'Pakenham', 'Volunteering']",https://www.u3aonline.org.au/location/cardinia-u3a-inc
"PO Box 767, Seymour, Victoria 3661",Volunteering,Seymour and District U3A,3661,Seymour,Mitchell Shire Council,-37.02444076538086,145.13470458984375,"['Mitchell Shire Council', 'Seymour', 'Volunteering']",www.u3aseymour.org.au
"238 George Street, Fitzroy, Victoria 3065",Volunteering,Shekinah Homeless Services Inc.,3065,Fitzroy,Yarra City Council,-37.80207,144.98155,"['Yarra City Council', 'Fitzroy', 'Volunteering']",https://www.goodcompany.com.au/charity/Shekinah-Homeless-Services-Inc
"288 Brunswick Street, Fitzroy, Victoria 3065","State body,Volunteering",The Wilderness Society,3065,Fitzroy,Yarra City Council,-37.7989,144.9786,"['Yarra City Council', 'Fitzroy', 'Volunteering']",https://www.wilderness.org
"186 Foster Street East, Dandenong, Victoria 3175",Volunteering,South Eastern Volunteer Resource Service,3175,Dandenong,Greater Dandenong City Council,-37.98702496603209,145.22067370783972,"['Greater Dandenong City Council', 'Dandenong', 'Volunteering']",sev.org.au
"Building 27, Sunbury University, Sunbury, Victoria 3429",Volunteering,Sunbury U3A Inc.,3429,Sunbury,Hume City Council,-37.55342102050781,144.74652099609375,"['Hume City Council', 'Sunbury', 'Volunteering']",https://u3asunbury.org.au/about-us
"29 York Avenue, Ivanhoe, Victoria 3079",Volunteering,The Ampersand Network,3079,Ivanhoe,Banyule City Council,-37.77072,145.05531,"['Banyule City Council', 'Ivanhoe', 'Volunteering']",https://en.wikipedia.org/wiki/Ampersand_Network
"Druid's House, 6th Floor, Melbourne, Victoria 3000",Volunteering,The East West Overseas Aid Foundation,3000,Melbourne,Port Phillip City Council,-37.81098556518555,144.9644775390625,"['Port Phillip City Council', 'Melbourne', 'Volunteering']",https://www.tewfa.org.au
"Eighth Floor, Melbourne, Victoria 3000",Volunteering,The U3A Network - Victoria Inc,3000,Melbourne,Port Phillip City Council,28.20886,-80.69455,"['Port Phillip City Council', 'Melbourne', 'Volunteering']",https://www.u3avictoria.com.au
"Level 5  RMIT Building 37, Cnr Swanston & A'Beckett Streets, Melbourne, Victoria 3000",Volunteering,U3A City of Melbourne Inc,3000,Melbourne,Port Phillip City Council,-37.81674,144.96681,"['Port Phillip City Council', 'Melbourne', 'Volunteering']",www.u3amelbcity.org.au
"280 Williams Street, Melbourne, Victoria 3000","State body,Volunteering",Volunteering Victoria,3000,Melbourne,Port Phillip City Council,-37.81259,144.95708,"['Port Phillip City Council', 'Melbourne', 'Volunteering']",https://www.volunteeringvictoria.org.au
"PO Box  140, Williamstown, Victoria 3016",Volunteering,Third Age Learning - Hobson's Bay Inc.,3016,Williamstown,Hobsons Bay City Council,-37.864376068115234,144.89990234375,"['Hobsons Bay City Council', 'Williamstown', 'Volunteering']",https://u3ahbwilli.org.au
"North Ringwood Seniors Centre, Warrandyte Road, Ringwood North, Victoria 3134",Volunteering,Third Age Ringwood Inc,3134,Ringwood North,Maroondah City Council,-37.80709,145.23046,"['Maroondah City Council', 'Ringwood North', 'Volunteering']",https://www.u3aringwood.org.au
"29 Strabane Avenue, Box Hill North, Victoria 3129",Volunteering,U3A Box Hill Inc.,3129,Box Hill North,Whitehorse City Council,-37.80734941474654,145.1125511057373,"['Whitehorse City Council', 'Box Hill North', 'Volunteering']",www.u3aboxhill.com.au/classes.html
"Fairfield Railway Station, 26 Railway Place, Fairfield, Victoria 3078",Volunteering,U3A Darebin Inc.,3078,Fairfield,Yarra City Council,-37.7794400000479,145.017735,"['Yarra City Council', 'Fairfield', 'Volunteering']",https://www.u3adarebin.com.au
"C/o  9 Parkside Rise, Wallan, Victoria 3756",Volunteering,U3A Kilmore Inc.,3756,Wallan,Mitchell Shire Council,-37.40291,144.98728,"['Mitchell Shire Council', 'Wallan', 'Volunteering']",u3akilmoreanddistrict.com.au
