Event Name,Place Name,Description,Day,Address,Phone Number,URL,Suburb,Tags
Turkish Women: Connect and Share,Carlton Womenâ€™s Turkish Group (cohealth),Connect and share experiences with other Turkish women. Language spoken by participants is Turkish.,Tuesday,"Community Hall, Ground Floor, 510 Lygon Street, Carlton",9448 6792,"maria.ibrahim@cohealth.org.au,  cohealth.org.au",Carlton,[Social Groups]
Cinema Nova,Cinema Nova,Enjoy an affordable day at the movies with discounted tickets.,Monday,"Lygon Court, 380 Lygon Street, Carlton",9347 5331,cinemanova.com.au,Carlton,[Arts and Culture]
Italian: Food and Fun,Circolo Pensionati Italiani di San Marco in Lamis,Join in for meals and outings with other members of the Italian community. Language spoken by participants is Italian.,Wednesday,"San Marco in Lamis Social Club, 149 Canning Street, Carlton",0402 026 116,graciepirro@yahoo.com,Carlton,[Social Groups]
Eritrean Men's social,Eritrean Menâ€™s Group (cohealth),"Take part in cultural events, meals, information and social activities with other men. Languages spoken by participants are Tigre, Tigrinya and Arabic",Thursday,"Community Hall, Ground Floor, 510 Lygon Street, Carlton",9448 6792,"maria.ibrahim@cohealth.org.au,  cohealth.org.au",Carlton,[Social Groups]
Eritrean Women's social,Eritrean Womenâ€™s Group (Carlton Neighbourhood Learning Centre),"Join other women in the community to share meals, social support and forums on particular issues.",Friday,"Community Hall, Ground Floor 510 Lygon Street, Carlton",9347 2739,"cdc@cnlc.org.au, cnlc.org.au",Carlton,[Social Groups]
Harari Women's social,Harari Womens Group (Carlton Neighbourhood Learning Centre),"Join other women in the community to share meals, social support and forums on particular issues.",Saturday,"Community Room, 38 Elgin Street, Carlton",9347 2739,"cdc@cnlc.org.au, cnlc.org.au",Carlton,[Social Groups]
Parkville Tennis Seniors' Social,Parkville Tennis Club Social Seniors Tennis,"If youâ€™re a beginner or coming back to tennis, come and enjoy a hit and morning tea. Suitable for all skill levels and held each week at Parkville Tennis Club. Anyone over the age of 35 is welcome. Racquets are available for loan.",Wednesday,"151 Royal Parade, Parkville",0412 279 156,"parkvilletennis@gmail.com, tennis.com.au/parkvilletc",Parkville,[Health and Wellbeing]
Somali Senior Women's Social,Somali Senior Womenâ€™s Group (cohealth),"Enjoy meals and share information, support and activities including walking and outings with other women. Language spoken by participants is Somali.",Friday,"Community Hall, 480 Lygon Street, Carlton",9448 6792,"maria.ibrahim@cohealth.org.au, cohealth.org.au",Carlton,[Social Groups]
Boyd's Community Walking,Boyd Community Hub Walking Group,A great way to stay active and socialise at the same time. Contact organiser for more information.,Wednesday,"Boyd Community Hub, 207 City Road, Southbank",9658 8314,"boyd@melbourne.vic.gov.au, melbourne.vic.gov.au",Southbank,[Health and Wellbeing]
Let's laugh,Boyd laughter club,"Come laugh with us to immerse in fun aerobic laughter for a natural high, to ramp up your joy & happiness meter, increase positivity, manage stress and enjoy life enhancing your mind, body, spirit & social well-being.",Tuesday,"Boyd Community Hub, 207 City Road, Southbank",0408 552 269,"info@laughterclubsvic.org.au, laughterclubsvic.org",Southbank,[Health and Wellbeing]
English Connect,English Conversation Club at Southbank Library,"Come along for informal English conversation practice, meet new people and improve your English language skills. All sessions are free and facilitated by a native speaking volunteer.",Monday,"Southbank Library at Boyd, 207 City Road, Southbank",9658 8300,"boyd@melbourne.vic.gov.au, melbourne.vic.gov.au",Southbank,[Lifelong Learning]
A Walk in the Flagstaff Gardens,A Walk in the Flagstaff Gardens,Join expert tour guides from the Royal Historical Society of Victoria on a guided walk through the beautiful Flagstaff Gardens. Visitors will climb Flagstaff Hill to consider its place in Melbourne topography and pre-European history as well as its early role as a burial ground.,Monday,"Royal Historical Society of Victoria, 239 Aâ€™Beckett Street, Melbourne",9326 9288,"office@historyvictoria.org.au, historyvictoria.org.au/rhsvwalking-tours",East Melbourne,"[Health and Wellbeing, Lifelong Learning]"
