,Municipality,Suburb
0,Casey City Council,Botanic Ridge
1,Casey City Council,Berwick
2,Port Phillip City Council,St Kilda
3,Melbourne City Council,South Yarra
4,Hobsons Bay City Council,Williamstown
5,Mornington Peninsula Shire Council,Cape Schanck
6,Mornington Peninsula Shire Council,Flinders
7,Mornington Peninsula Shire Council,Boneo
8,Mornington Peninsula Shire Council,Portsea
9,Casey City Council,Endeavour Hills
10,Yarra Ranges Shire Council,The Basin
11,Yarra Ranges Shire Council,Lysterfield
12,Bayside City Council,Beaumaris
13,Brimbank City Council,Bulla
14,Nillumbik Shire Council,Steels Creek
15,Wyndham City Council,Point Cook
16,Hume City Council,Melbourne Airport
17,Hobsons Bay City Council,Altona Meadows
18,Hobsons Bay City Council,Altona
19,Hobsons Bay City Council,Altona North
24,Hobsons Bay City Council,Williamstown North
26,Hobsons Bay City Council,Seaholme
27,Hobsons Bay City Council,Newport
29,Hobsons Bay City Council,Laverton
31,Hobsons Bay City Council,Brooklyn
51,Hobsons Bay City Council,Spotswood
56,Hobsons Bay City Council,South Kingsville
129,Hobsons Bay City Council,Seabrook
131,Hobsons Bay City Council,Port Melbourne
143,Mornington Peninsula Shire Council,Mornington
144,Mornington Peninsula Shire Council,Main Ridge
148,Mornington Peninsula Shire Council,Mount Eliza
149,Mornington Peninsula Shire Council,Hastings
150,Mornington Peninsula Shire Council,Balnarring
152,Mornington Peninsula Shire Council,Rye
153,Mornington Peninsula Shire Council,Baxter
156,Mornington Peninsula Shire Council,Mount Martha
158,Mornington Peninsula Shire Council,Red Hill
161,Mornington Peninsula Shire Council,Somers
162,Mornington Peninsula Shire Council,Rosebud
165,Mornington Peninsula Shire Council,Somerville
169,Mornington Peninsula Shire Council,McCrae
173,Mornington Peninsula Shire Council,Balnarring Beach
174,Mornington Peninsula Shire Council,Crib Point
176,Mornington Peninsula Shire Council,Arthurs Seat
178,Mornington Peninsula Shire Council,Dromana
182,Mornington Peninsula Shire Council,Merricks North
184,Mornington Peninsula Shire Council,Tyabb
191,Mornington Peninsula Shire Council,Blairgowrie
213,Mornington Peninsula Shire Council,Sorrento
216,Mornington Peninsula Shire Council,Moorooduc
220,Mornington Peninsula Shire Council,Safety Beach
244,Mornington Peninsula Shire Council,Bittern
293,Mornington Peninsula Shire Council,Tootgarook
315,Mornington Peninsula Shire Council,Red Hill South
351,Mornington Peninsula Shire Council,Shoreham
367,Mornington Peninsula Shire Council,Point Leo
398,Mornington Peninsula Shire Council,Capel Sound
427,Mornington Peninsula Shire Council,Tuerong
455,Casey City Council,Narre Warren North
457,Casey City Council,Cranbourne
458,Casey City Council,Narre Warren
459,Casey City Council,Lynbrook
461,Casey City Council,Cranbourne West
463,Casey City Council,Doveton
467,Casey City Council,Hallam
470,Casey City Council,Cranbourne North
472,Casey City Council,Eumemmerring
481,Casey City Council,Lyndhurst
503,Casey City Council,Cranbourne South
507,Casey City Council,Pearcedale
513,Casey City Council,Narre Warren South
517,Casey City Council,Hampton Park
524,Maribyrnong City Council,Maidstone
525,Maribyrnong City Council,West Footscray
526,Maribyrnong City Council,Yarraville
527,Maribyrnong City Council,Braybrook
528,Maribyrnong City Council,Footscray
534,Maribyrnong City Council,Maribyrnong
547,Maribyrnong City Council,Spotswood
585,Maroondah City Council,Ringwood East
586,Maroondah City Council,Croydon
589,Maroondah City Council,Kilsyth South
590,Maroondah City Council,Ringwood North
591,Maroondah City Council,Mooroolbark
592,Maroondah City Council,Ringwood
595,Maroondah City Council,Croydon South
597,Maroondah City Council,Croydon North
599,Maroondah City Council,Croydon Hills
600,Maroondah City Council,Bayswater North
609,Maroondah City Council,Heathmont
610,Maroondah City Council,Kilsyth
650,Maroondah City Council,Warranwood
656,Moonee Valley City Council,Airport West
657,Moonee Valley City Council,Aberfeldie
658,Moonee Valley City Council,Ascot Vale
659,Moonee Valley City Council,Strathmore Heights
660,Moonee Valley City Council,Essendon
661,Moonee Valley City Council,Essendon West
662,Moonee Valley City Council,Travancore
663,Moonee Valley City Council,Pascoe Vale South
664,Moonee Valley City Council,Flemington
665,Moonee Valley City Council,Avondale Heights
670,Moonee Valley City Council,Moonee Ponds
671,Moonee Valley City Council,Strathmore
674,Moonee Valley City Council,Keilor East
679,Banyule City Council,Watsonia
680,Banyule City Council,Eaglemont
682,Banyule City Council,Greensborough
683,Banyule City Council,Heidelberg
684,Banyule City Council,Viewbank
686,Banyule City Council,Watsonia North
688,Banyule City Council,Ivanhoe East
689,Banyule City Council,Rosanna
694,Banyule City Council,Macleod
695,Banyule City Council,Ivanhoe
696,Banyule City Council,Lower Plenty
700,Banyule City Council,Heidelberg West
701,Banyule City Council,Bellfield
702,Banyule City Council,Montmorency
704,Banyule City Council,Bundoora
714,Banyule City Council,Eltham North
715,Banyule City Council,Heidelberg Heights
716,Banyule City Council,St Helena
732,Moreland City Council,Coburg North
733,Moreland City Council,Brunswick
734,Moreland City Council,Brunswick East
736,Moreland City Council,Brunswick West
737,Moreland City Council,Fawkner
739,Moreland City Council,Coburg
741,Moreland City Council,Moonee Ponds
742,Moreland City Council,Glenroy
764,Moreland City Council,Pascoe Vale South
765,Moreland City Council,Oak Park
768,Moreland City Council,Pascoe Vale
779,Moreland City Council,Travancore
796,Moreland City Council,Hadfield
797,Moreland City Council,Strathmore Heights
841,Darebin City Council,Brunswick East
842,Darebin City Council,Northcote
846,Darebin City Council,Reservoir
848,Darebin City Council,Kingsbury
853,Darebin City Council,Coburg
854,Darebin City Council,Coburg North
855,Darebin City Council,Preston
856,Darebin City Council,Thornbury
863,Darebin City Council,Alphington
870,Yarra Ranges Shire Council,Tremont
871,Yarra Ranges Shire Council,Sassafras
872,Yarra Ranges Shire Council,Belgrave South
873,Yarra Ranges Shire Council,Belgrave
874,Yarra Ranges Shire Council,Mount Evelyn
876,Yarra Ranges Shire Council,The Patch
877,Yarra Ranges Shire Council,Menzies Creek
878,Yarra Ranges Shire Council,Badger Creek
879,Yarra Ranges Shire Council,McMahons Creek
880,Yarra Ranges Shire Council,Olinda
881,Yarra Ranges Shire Council,Kilsyth
883,Yarra Ranges Shire Council,Yarra Junction
884,Yarra Ranges Shire Council,Dixons Creek
885,Yarra Ranges Shire Council,Healesville
887,Yarra Ranges Shire Council,Ferny Creek
888,Yarra Ranges Shire Council,Montrose
889,Yarra Ranges Shire Council,Sherbrooke
891,Yarra Ranges Shire Council,Upper Ferntree Gully
892,Yarra Ranges Shire Council,Mount Dandenong
894,Yarra Ranges Shire Council,Kalorama
895,Yarra Ranges Shire Council,Mooroolbark
896,Yarra Ranges Shire Council,Chirnside Park
898,Yarra Ranges Shire Council,Selby
901,Yarra Ranges Shire Council,Lilydale
913,Yarra Ranges Shire Council,Upwey
917,Yarra Ranges Shire Council,Coldstream
918,Yarra Ranges Shire Council,Steels Creek
919,Yarra Ranges Shire Council,Albanvale
923,Yarra Ranges Shire Council,Yellingbo
924,Frankston City Council,Frankston
925,Frankston City Council,Frankston South
927,Frankston City Council,Baxter
929,Frankston City Council,Seaford
933,Frankston City Council,Carrum Downs
934,Frankston City Council,Frankston North
935,Frankston City Council,Langwarrin
980,Frankston City Council,Skye
984,Whitehorse City Council,Vermont
985,Whitehorse City Council,Mitcham
986,Whitehorse City Council,Burwood East
987,Whitehorse City Council,Burwood
988,Whitehorse City Council,Blackburn
991,Whitehorse City Council,Surrey Hills
992,Whitehorse City Council,Box Hill North
993,Whitehorse City Council,Box Hill
996,Whitehorse City Council,Mont Albert North
1001,Whitehorse City Council,Box Hill South
1003,Whitehorse City Council,Blackburn North
1007,Whitehorse City Council,Nunawading
1008,Whitehorse City Council,Balwyn
1015,Whitehorse City Council,Vermont South
1020,Whitehorse City Council,Blackburn South
1021,Boroondara City Council,Kew
1022,Boroondara City Council,Hawthorn East
1023,Boroondara City Council,Ashburton
1027,Boroondara City Council,Glen Iris
1028,Boroondara City Council,Balwyn
1031,Boroondara City Council,Hawthorn
1032,Boroondara City Council,Deepdene
1035,Boroondara City Council,Balwyn North
1038,Boroondara City Council,Canterbury
1051,Boroondara City Council,Camberwell
1066,Boroondara City Council,Kew East
1094,Boroondara City Council,Surrey Hills
1135,Greater Dandenong City Council,Keysborough
1136,Greater Dandenong City Council,Dandenong
1137,Greater Dandenong City Council,Noble Park
1142,Greater Dandenong City Council,Springvale South
1163,Greater Dandenong City Council,Dandenong North
1164,Greater Dandenong City Council,Springvale
1172,Manningham City Council,Park Orchards
1173,Manningham City Council,North Warrandyte
1174,Manningham City Council,Ivanhoe East
1175,Manningham City Council,Templestowe
1176,Manningham City Council,Doncaster East
1177,Manningham City Council,Wonga Park
1181,Manningham City Council,Donvale
1182,Manningham City Council,Templestowe Lower
1183,Manningham City Council,Mitcham
1190,Manningham City Council,Warrandyte
1192,Manningham City Council,Doncaster
