Municipality,Place Name,Feature Type Code,Feature Type,Longitude,Latitude,Historical Information,Url,Organisation Name
GREATER GEELONG CITY,13TH BEACH SURF LIFE SAVING CLUB,PARK,PARK,144.4525565,-38.2827299,,,
SWAN HILL RURAL CITY,90 ACRE SAND BAR,BAR,BAR,143.3870833,-35.1593056,,,
HOBSONS BAY CITY,A B SHAW RESERVE,PARK,PARK,144.7822176,-37.8643547,'Elected to Council 1973.  Mayor - City of Altona 1978 - 79 and 1986 - 87.',,
MORNINGTON PENINSULA SHIRE,A C CAMPBELL RESERVE,PARK,PARK,145.0310906,-38.2398582,"Archibald Colin Campbell was a Mornington Shire Councillor in the South Riding from 1948-51, and again from 1966-71. He represented Mt Martha Riding from 1955-1966.  He was Mornington Shire President in 1957, and again in 1965.  He opened the Beleura Hill Pre-school Centre, Mornington as Shire President in 1966.",,
CASEY CITY,A E BROWN RESERVE,PARK,PARK,145.3550932,-38.0273344,"Place names Submission from 1977 reads: 'Mr. Brown has had 54 years association with the Berwick Football Club, of which he is a life member; he also has a Life Membership with the Victorian Country Football League, the Berwick Cricket Club and the Agricultural Society.  He has served as a delegate, committee man and Vice President of the Dandenong & District Football League and in similar capacities with the South-West Gippsland Football League.  He has been gatekeeper with the league for the past 23 years.'",,
MARIBYRNONG CITY,A E SHEPHERD GARDENS,PARK,PARK,144.8684722,-37.7895833,"'Mr. E. Shepard was a State Member for Sunshine when the Sunshine Seat was first named.  He was a member for Footscray which included Sunshine at that time, when then he was the Minister fro Education, Deputy Leader of the Opposition.  Most diligent worker for his electorate.  Lived on the border of Sunshine and West Footscray where these gardens are situated.'",,
MAROONDAH CITY,A F B Long Reserve,PARK,PARK,145.2464833,-37.8165222,,,
CORANGAMITE SHIRE,A H BARRETT RESERVE,PARK,PARK,143.0789056,-38.326025,"'The late Doctor Barrett who conducted a practise in this municipality for over forty (40) years, was known and loved by the residents of our district as a man of kindness and one who carried out his professional duties in a manner far beyond those normally expected.  During his lifetime, he received the O.B.E. and was granted the Shires first and only citizenship award.'",,
HOBSONS BAY CITY,A H FORD RESERVE,PARK,PARK,144.813493,-37.8608556,,,
MOONEE VALLEY CITY,A J DAVIS RESERVE,PARK,PARK,144.8734722,-37.7284722,,,
EAST GIPPSLAND SHIRE,A J FREEMAN RESERVE,PARK,PARK,147.7162816,-37.9134411,,,
LODDON SHIRE,A J MITCHELL PARK,PARK,PARK,143.8734722,-36.5729167,"Named after Mr Alf Mitchell, a well respected gentleman of the township of Inglewood, who beautified the area at his own cost.  The name was proposed by the Council of the Shire of Korong in November 1991.",,
BANYULE CITY,A K LINES RESERVE,PARK,PARK,145.0875965,-37.7042834,,,
EAST GIPPSLAND SHIRE,A M PEARSON HISTORICAL PARK,PARK,PARK,147.5924101,-37.1011296,,,
EAST GIPPSLAND SHIRE,A M PEARSON PARK,PARK,PARK,147.5931944,-37.1006944,"'This name has been chosen to commemorate the memory of an old local identity, who not only served the Omeo Shire Council for a record term in office from 1929 to 1960, but also the local community throughout much of his life.  The late Mr. A. M. (Mervyn) Pearson was seventy years of age when commissioned by the Shire of Omeo to write a history of the Shire, which he did with great distinction and which is entitled 'Echoes from the Mountains'.  He spent one third of his life as an Omeo Shire Councillor and on six occasions was Shire President.'",,
MORNINGTON PENINSULA SHIRE,A R AND F DITTERICH RESERVE,PARK,PARK,144.9693906,-38.4001138,"Arthur Ralph Ditterich was a Shire of Flinders Councillor from 1961-1964.
A.R. & F. Ditterich are Life Members of the Main Ridge Cricket Club - Ralph and Frank Ditterich were keen cricketers and involved in community affairs. They were involved in the planning and building of the bowls club and other works associated with the grounds. Both had orchards and lived in Valley View Lane, Main Ridge.  Prior to 1926 Main Ridge was known as Main Creek and the name change was brought about by Frank Ditterich.  Seven acres (2.8 hectares) was bought from C. Rigby in 1932 for a recreation ground at Main Ridge for the sum of 50 pounds ($100). A 10 pound ($20) deposit was raised by the community funded in part by a 'sheep guessing competition'. The balance payable over 5 years was raised by community fundraising efforts.
In 1957 the gates were given as a gift by Mrs Lillian Adams of Main Ridge.
On 28th April 1959 the Shire President was invited to unveil a plaque in memory of Frank Ditterich.  Frank was born in Long Gully, Bendigo on 17th September 1895 and died on 28th December 1956 at Mentone. He married his wife Jessie in 1930. They had two sons Richard and David.
Ralph was born in St Arnaud on 4th July, 1893 and married his wife Margaret in Palmerston, New Zealand in 1926. Their son Allan was born in 1929 and died in 1947. Ralph died in Redcliffe, Queensland in 1974.",,
UNKNOWN,A R MCNABB RESERVE,PARK,PARK,,,"Councillor A. R. McNabb, Mayor of the City 1947-48.",,
MILDURA RURAL CITY,A S KENYON LIBRARY,LIBR,LIBRARY,142.1866667,-34.3086111,"Alfred Stephen Kenyon (1867-1943) was born at Homebush, near Avoca on 7 December 1867. He was an engineer, ethnologist, numismatist, historian and a writer. He was educated at St Stephen's Grammar School in Richmond and later at Ormond College and the University of Melbourne. in 1887 he entered the Public Works Department and joined the Victorian Water Supply Department the following year. Kenyon was appointed Engineer in Charge of Town Water Supplies in 1901 before becoming Engineer for Agriculture with the Department of Agriculture in 1906. 1911 saw him transfer to the State Rivers and Water Supply Commission where he was Engineer in Charge of Water Supply to the North West Mallee. His first major literary work, The Story of the Mallee, was published in 1915 and in 1918 he was asked to report on land settlement for the placement of returned soldiers. Part of the report recommended the development of Red Cliffs and he was placed in charge of developing the district. Circa 1928 he evolved what he termed the 'Ironclad' Catchment to be made of flat galvanized iron sheets laid on sloping grounds to discharge water from rainfall into watertight covered storages. Following a stint as Acting Commissioner, in 1932 he was appointed Commissioner of the State Rivers and Water Supply Commission. He was a member of many scientific and professional societies including The Institution of Engineers, Australia, the Australasian Institute of Mining and Metallurgy, the Historical Society of Victoria, the Field Naturalists' Club, the Royal Society of Victoria, the Anthropological Society of Victoria, the Australian and New Zealand Association for the Advancement of Science, and the Society of Genealogists, Australia. He was also a member of a number of scientific societies overseas.",,
HOBSONS BAY CITY,A W BOND RESERVE,PARK,PARK,144.8451874,-37.8276043,,,
QUEENSCLIFFE BOROUGH,A W HODGETTS RESERVE,PARK,PARK,144.66375,-38.2651389,"'It is proposed to honour Albert William Hodgetts (born 1911) who was involved in the public life of the Borough for many years.  The proposal has received support from a number of people, including Members of Parliament.'",,
HOBSONS BAY CITY,A W KNIGHT RESERVE,PARK,PARK,144.7861184,-37.8801627,,,
HOBSONS BAY CITY,A W LANGSHAW RESERVE,PARK,PARK,144.8515345,-37.8361236,,,
MORELAND CITY,A W SANGER RESERVE,PARK,PARK,144.9554167,-37.7234722,"'It is named after Arthur William Sanger, J.P., who was a Councillor from 1961 until his death on 18/7/69.  He was Mayor in 1964/65.  He was an active Councillor and supported every worth-while project.'",,
MANSFIELD SHIRE,A1 MINE SETTLEMENT,NBHD,NEIGHBOURHOOD,146.20125,-37.4998611,"Mansfield Woods Point Road. A1 refers to the high quality of gold produced or expected from the mine (1881 - 1992). A nearby loop in Raspberry Creek (1), known as Castle Point, was proposed as a name for the settlement, but was apparently not adopted. The settlement dates from a gold strike, the Castle Reef, in 1862.",,
GREATER GEELONG CITY,ABE WOOD RESERVE,PARK,PARK,144.3131702,-38.0562555,,,
MOONEE VALLEY CITY,ABERFELDIE PARK,PARK,PARK,144.9014477,-37.76245,,,
BENALLA RURAL CITY,ABORIGINAL GARDEN,PARK,PARK,145.9782723,-36.5477295,,,
DAREBIN CITY,ABRAHAMS RESERVE,PARK,PARK,144.9804167,-37.7581944,'Named after the late Agnes Abrahams.  A pioneer resident of the Brunswick municipality well known for her philanthropic gestures.  Mrs. Abrahams lived all of her life in Brunswick and died at the age of 92.  Her father and brothers were instrumental in the building of many properties in the municipality.',,
YARRA RANGES SHIRE,ACACIA PICNIC AREA,PARK,PARK,145.3204167,-37.8870833,,,
MURRINDINDI SHIRE,ACHERON,PRSH,PARISH,145.6765278,-37.2409722,"Parish, settlement. The place-name originally covered a much wider area than now. In the 1890s, as a result of agitation by J. B. Coombs, the upper or southern part - where the Acheron and Little Rivers join - was renamed Taggerty (q.v.), and Lower Acheron - where the Acheron River joins the Goulburn - was renamed just Acheron. Mrs. Janet McIlwraith's private school, known as Niagaroona, was sold and became Acheron state school (1874-95, 1899 - 1984). For the origin of the name, see Acheron River.",,
MURRINDINDI SHIRE,ACHERON,PRSH,PARISH,145.6765278,-37.2409722,"Traditional Name: Ngaragon Explanation: N/A Discussion on Current Name: n by Fletcher and Coburn in late 1830s,  rural locality S of Alexandra,  Acheron Ri is a tributary of the Goulburn Ri,  Blake 2001.",http://www.vaclang.org.au,
GREATER GEELONG CITY,ACHILLES CRT PLAYGROUND,PARK,PARK,144.5471859,-38.2703896,,,
CASEY CITY,ACKLAND PARK,PARK,PARK,145.3177787,-37.9812004,"Named after William John Ackland and Evelyn Pearl Ackland, who farmed the land, for over 50 years and who contributed to the local community.  ",,
HOBSONS BAY CITY,ADA CAMBRIDGE FORECOURT,PARK,PARK,144.8961551,-37.8584782,,,
WELLINGTON SHIRE,ADARE,NBHD,NEIGHBOURHOOD,146.4018056,-38.5979167,,,
BALLARAT CITY,ADDINGTON,PRSH,PARISH,143.6768056,-37.3479167,"'The little township of Addington took its name from an hotel established by a man named Griffiths.  The hotel took its name from the adjoining parish of Addington surveyed by John Hamlet Taylor about 1854-5.  The parish took its name from William Leonard Addington, second Viscount Sidmouth, of Sidmouth, Devon.'",,
